	       time	   Inlet_SPL_db       Origin_SPL_db     Top_Wall_SPL_db	 Bottom_Wall_SPL_db	  Outlet_SPL_db
             0.1042   0.000254446211915     0.0129093860279    0.00199749275287   0.000359939799515  -6.27323745748e-07
             0.1044  -0.000667940778212    0.00668882030189    0.00490316169948   0.000235406690139  -7.87995346086e-07
             0.1046   -0.00128068443514    0.00170482326331    0.00834104538241   1.49394616652e-05  -9.11330245036e-07
             0.1048   -0.00142665146102    -0.0010762181715     0.0118357906662  -0.000218171453065  -9.44087797771e-07
              0.105   -0.00112202697471   -0.00133059669478     0.0146992506607  -0.000370974891808  -8.16695750415e-07
             0.1052  -0.000542739141257   0.000571258877053      0.016221351398   -0.00037731924573  -4.50578673763e-07
             0.1054     4.438194595e-05    0.00371317903791      0.015890444926  -0.000225927648141   2.26895806272e-07
             0.1056   0.000377706823138     0.0069323204173     0.0135754225488   3.16135476369e-05   1.25949952629e-06
             0.1058   0.000288592985863    0.00917330324305    0.00961057032638   0.000297658220855   2.63349317146e-06
              0.106  -0.000237629302925    0.00978647086422    0.00475155823766    0.00046551711036   4.24903055074e-06
             0.1062   -0.00101622499228    0.00868004678709    8.9638297213e-06   0.000463925713291   5.90106048916e-06
             0.1064     -0.001653583284    0.00628570941886   -0.00359725490741   0.000292285354271   7.28139383864e-06
             0.1066   -0.00171715041594    0.00335912934514   -0.00529437626152   3.20914115849e-05   8.01249190927e-06
             0.1068   -0.00114693777614   0.000690529524306   -0.00475229597231  -0.000172341814414   7.71753677502e-06
              0.107  -0.000425623437462   -0.00117248355507   -0.00216265027917  -0.000159953922308   6.12027844751e-06
             0.1072   2.66897962495e-05   -0.00209552877293    0.00181961819193   0.000188219876255   3.15410161979e-06
             0.1074   0.000401344020015   -0.00236713604213    0.00625372950867   0.000897198019903  -9.52686536064e-07
             0.1076   0.000871413463716   -0.00255093098584     0.0101572628104    0.00187198372425  -5.65299176309e-06
             0.1078    0.00109069000349   -0.00323918164652     0.0127471478958    0.00290839866541  -1.01474692246e-05
              0.108    0.00100343531256   -0.00480035436115     0.0136110388464    0.00373997023298  -1.35466597297e-05
             0.1082   0.000957969057588   -0.00721379673209     0.0127656985938    0.00410779154296   -1.5099516555e-05
             0.1084   0.000915155865069    -0.0100519552244      0.010594015285    0.00383206702945  -1.44253053524e-05
             0.1086   0.000828466807148    -0.0126165302231    0.00768819394321    0.00286288650332  -1.16677599797e-05
             0.1088   0.000853915121596    -0.0141790683538    0.00465258279325     0.0012942481896   -7.5009342476e-06
              0.109   0.000836089982951    -0.0142386604201    0.00192805054327  -0.000662611379536  -2.95898601604e-06
             0.1092   0.000684534381108    -0.0127030891356  -0.000310935774525   -0.00273704636035   8.73464302137e-07
             0.1094   0.000412561571325   -0.00992711994629   -0.00216111571867   -0.00466826651501   3.21155727874e-06
             0.1096  -7.42999082679e-05   -0.00659283410478   -0.00390370702591   -0.00626305286032   3.83086535572e-06
             0.1098   -0.00067246887164   -0.00347369223656   -0.00586078068077   -0.00742380921861   3.12840068527e-06
               0.11   -0.00127902268531   -0.00116618751521   -0.00824502771212   -0.00814012372384   1.94510411954e-06
             0.1102    -0.0017864773865   0.000114387447417    -0.0110523287551   -0.00845065869811   1.20864891919e-06
             0.1104   -0.00204487083415   0.000598869573256    -0.0140303913364   -0.00839321442334   1.53789204055e-06
             0.1106   -0.00203442146476   0.000863913161986    -0.0167312432978   -0.00796513311679   2.97729867991e-06
             0.1108   -0.00175100969699    0.00160475554433    -0.0186290283618   -0.00711211883761   4.98253490683e-06
              0.111   -0.00128834449841    0.00337601198252    -0.0192655118595   -0.00575238902745   6.67227549063e-06
             0.1112  -0.000766881625866    0.00640151696431    -0.0183793061819   -0.00382880988076   7.24109681756e-06
             0.1114  -0.000286557465018     0.0104845555957    -0.0159821022122   -0.00136951654271   6.34956331164e-06
             0.1116   7.31643907772e-05     0.0149964834161     -0.012362886409    0.00146790730077   4.30986688828e-06
             0.1118    0.00031954692668     0.0189947037795   -0.00802304297991    0.00438999104591   1.97214780225e-06
              0.112   0.000487582395122     0.0215356659908   -0.00356443908096    0.00700817207838   3.51613576552e-07
             0.1122   0.000652444320869     0.0220282322875   0.000436411285818    0.00892017385438   1.58994520168e-07
             0.1124   0.000861301858047     0.0204075699403    0.00353466103318    0.00981038734252    1.4490368289e-06
             0.1126    0.00111935198004     0.0171326099443    0.00547973721193    0.00953927295562   3.55621840747e-06
             0.1128    0.00137410508543     0.0130351024586    0.00622507711103    0.00819311474259   5.36068086542e-06
              0.113    0.00152794125089    0.00902269612138    0.00589145943611    0.00607638669701   5.77603565959e-06
             0.1132    0.00148379656002    0.00576492944786    0.00470194109441    0.00364611242776   4.24406672835e-06
             0.1134    0.00117709851312    0.00347580425651    0.00291102971848    0.00140532746623   1.01117015013e-06
             0.1136   0.000623027089421    0.00186725617312    0.00074808194883  -0.000214750617372  -2.94440986121e-06
             0.1138  -8.60358323314e-05   0.000291564223352   -0.00161305274195  -0.000951064111646  -6.30856751048e-06
              0.114  -0.000789464595118   -0.00199652577633   -0.00405616115897  -0.000757885749243  -7.97768949906e-06
             0.1142   -0.00131233996152   -0.00555204423929   -0.00650332782437   0.000201979121535  -7.51444443953e-06
             0.1144   -0.00151368659175     -0.010520397441   -0.00888594491033    0.00161710865884  -5.31374112869e-06
             0.1146   -0.00133791255408    -0.0165288593663    -0.0111184469917    0.00311706458036  -2.40966437507e-06
             0.1148  -0.000833045763697    -0.0227053505591    -0.0130839508144    0.00436334252263  -1.14219174569e-08
              0.115  -0.000140424717014    -0.0278737014961    -0.0146357800604    0.00511599505672   1.02917379046e-06
             0.1152   0.000547649592111    -0.0309245864002    -0.0156136253292    0.00526101106031   5.90627202161e-07
             0.1154    0.00104647948537    -0.0311867384694    -0.0158693165677    0.00479823169303  -6.64079345642e-07
             0.1156    0.00123308618475     -0.028623917181    -0.0152954883338    0.00380286639325  -1.57997171482e-06
             0.1158    0.00108160270447    -0.0238415155844    -0.0138505869968    0.00238094016502  -1.03604090254e-06
              0.116   0.000663895731041    -0.0179194822903    -0.0115750157453   0.000638017448478   1.50650527696e-06
             0.1162   0.000122087095408    -0.0121130211161   -0.00859502602361   -0.00132783192888   5.66327888806e-06
             0.1164  -0.000382545739508    -0.0075278355643   -0.00511283422275   -0.00341007093687   1.01520417667e-05
             0.1166  -0.000720192928619    -0.0048481739474   -0.00138333609965   -0.00546713221127   1.32057916108e-05
             0.1168  -0.000831125746699   -0.00419198655932    0.00232013244716   -0.00730333786705    1.3239366896e-05
              0.117  -0.000734991014634   -0.00514842508018    0.00574623676925   -0.00867335179102   9.52169172443e-06
             0.1172  -0.000514214608061   -0.00696505706558    0.00870532743865   -0.00931715281964   2.58289837945e-06
             0.1174  -0.000275478500272   -0.00880440622734     0.0111000167071   -0.00901983025722  -5.83066101762e-06
             0.1176  -0.000108123547801   -0.00998680378004     0.0129386118141   -0.00767903410053  -1.32761198437e-05
             0.1178  -5.20112096471e-05    -0.0101481951787      0.014326009032   -0.00535715181356  -1.74460358612e-05
              0.118  -8.83545908993e-05   -0.00927411187832     0.0154315351119   -0.00229769506595   -1.7015884987e-05
             0.1182  -0.000153504261562   -0.00762128314567     0.0164393527688    0.00110453715154  -1.21831585697e-05
             0.1184   -0.00017102893903    -0.0055734058621     0.0174926772764    0.00437551705869  -4.67182471721e-06
             0.1186  -8.83612462662e-05   -0.00349607924643     0.0186462200386    0.00705843861419   2.83096021151e-06
             0.1188   9.50375683396e-05   -0.00164560742872     0.0198405333447    0.00880833701872    7.6202405594e-06
              0.119   0.000321580126407  -0.000151868328952     0.0209069760921    0.00945866238778   7.95658851025e-06
             0.1192   0.000498285543005   0.000948811629957     0.0216039603279    0.00904206063136   3.71309598609e-06
             0.1194   0.000544046305705    0.00167743893247     0.0216762438621    0.00776168505386  -3.57010003761e-06
             0.1196   0.000437313674345    0.00209915130891     0.0209220440902    0.00592428733331  -1.12546647937e-05
             0.1198   0.000228896264063      0.002320054346     0.0192499608382    0.00385714987648  -1.65835123324e-05
               0.12   3.22054771973e-06    0.00247699695923     0.0167101652237    0.00183415879943  -1.76958197849e-05
             0.1202  -0.000179795844322    0.00273283116708     0.0134914351409   3.11831771389e-05  -1.42895072404e-05
             0.1204  -0.000303678162426    0.00328451366652    0.00988527604212   -0.00148048573193  -7.68464458294e-06
             0.1206  -0.000362643725331    0.00434527226824    0.00622757949398   -0.00270738410606  -2.78140831083e-07
             0.1208   -0.00033754610326     0.0060698893126    0.00283417543664   -0.00368938428787   5.38520479119e-06
              0.121  -0.000227360310684    0.00846164041752  -5.25703983661e-05    -0.0044575088893   7.56081217463e-06
             0.1212  -8.46559114764e-05     0.0113141053225   -0.00229339861327   -0.00501094184211   5.91348656544e-06
             0.1214   1.82356906067e-05     0.0141973835676   -0.00385340403344   -0.00532084089627   1.57198044906e-06
             0.1216   5.46820964086e-05     0.0165014846392   -0.00477923488294   -0.00535682066837  -3.36935711355e-06
             0.1218   4.81609948957e-05     0.0175645595155   -0.00516349772716   -0.00512228628809  -6.69281549718e-06
              0.122   3.03941890602e-05     0.0168630898819   -0.00511027595485    -0.0046808111024  -6.91286969292e-06
             0.1222   3.33790517205e-05     0.0141967224731   -0.00471338576795   -0.00415895891283  -3.81967537496e-06
             0.1224   9.95684092654e-05    0.00980838692448   -0.00405279301436   -0.00372014992407   1.48842970401e-06
             0.1226   0.000252171427971    0.00439123933733   -0.00320683422836   -0.00351591894874   7.08321805811e-06
             0.1228   0.000465437738929   -0.00104217316149   -0.00227135305205   -0.00363079764383   1.09982080826e-05
              0.123   0.000683958869098   -0.00540219609311   -0.00137391295374   -0.00404128647681   1.20155889301e-05
             0.1232   0.000846625816102   -0.00780998708184  -0.000672920750534   -0.00460619058628   1.01336180249e-05
             0.1234   0.000891572484803   -0.00784659860425   -0.00033719792755   -0.00509585662058   6.52713037704e-06
             0.1236   0.000779993665138   -0.00568281417887  -0.000509257574009   -0.00525480368702   3.01721740395e-06
             0.1238   0.000523320426933   -0.00204419708319   -0.00126256020355   -0.00488036008903   1.26640109214e-06
              0.124   0.000175645872595    0.00198574125046   -0.00256683086859   -0.00389334298679   2.03321858428e-06
             0.1242  -0.000186418042444    0.00527402060804   -0.00427469194634   -0.00237793194684   4.80577751951e-06
             0.1244  -0.000482294631715    0.00697178112053   -0.00613751306472   -0.00057648566532   7.98797098425e-06
             0.1246  -0.000656206967101     0.0067704578475   -0.00785010460156    0.00116158156814   9.58665069855e-06
             0.1248  -0.000695564521431    0.00498846344115    -0.0091152306241    0.00246390213675   8.13026094683e-06
              0.125  -0.000627376892651    0.00244594467846   -0.00971254186154    0.00302935745859   3.43049466698e-06
             0.1252  -0.000507217764527   0.000169268957011   -0.00955434633977    0.00270656342216  -3.16288451884e-06
             0.1254  -0.000397512065221  -0.000956302299577   -0.00871327024549    0.00153559215836  -9.17060724858e-06
             0.1256  -0.000340442988377  -0.000452288438713   -0.00741353387565  -0.000257376161159  -1.19350328854e-05
             0.1258  -0.000344478604743    0.00164593244585   -0.00598641408515   -0.00230958999089  -9.74633265731e-06
              0.126  -0.000383152861458    0.00484427634456    -0.0047991491203   -0.00420100474689  -2.67140038616e-06
             0.1262  -0.000405726761347    0.00837043920694   -0.00417292402593     -0.005542193731   7.29323005471e-06
             0.1264   -0.00036088103154     0.0114252394057   -0.00430823487259   -0.00604953344612    1.6859452808e-05
             0.1266  -0.000219659425517     0.0134298273504   -0.00523442560428   -0.00559188378464   2.26632169485e-05
             0.1268   9.85164541904e-06     0.0141866352617   -0.00679503461159    -0.0042020942289   2.25900042103e-05
              0.127   0.000280004239931     0.0139033789198   -0.00867300978044   -0.00205620961861   1.66739403187e-05
             0.1272   0.000517925765594     0.0130801404797    -0.0104514598622   0.000569603716254   7.18643228343e-06
             0.1274    0.00064970177037     0.0122994582019     -0.011698057256    0.00335131993241  -2.15504637418e-06
             0.1276   0.000626309430383     0.0119878650467    -0.0120559204792    0.00596655976692  -7.57665953992e-06
             0.1278   0.000443428362073     0.0122345534481     -0.011321812778    0.00813353253598  -6.71036891256e-06
              0.128   0.000145739477247     0.0127390577903   -0.00949431199409    0.00963674015683   4.37157396883e-07
